conference,year,accepted,sota,non_sota,ratio
AAAI,2021,1654,609,1045,36.81983071342201
ACL,2021,710,232,478,32.67605633802817
CVPR,2021,1661,885,776,53.28115593016255
ICLR,2021,860,246,614,28.604651162790695
ICML,2021,1183,264,919,22.31614539306847
NeurIPS,2021,2508,627,1881,25.0
AAAI,2022,1319,515,804,39.044730856709634
ACL,2022,700,211,489,30.142857142857142
CVPR,2022,2062,1068,994,51.79437439379243
ICLR,2022,1095,318,777,29.041095890410958
ICML,2022,1233,262,971,21.24898621248986
NeurIPS,2022,2901,716,2185,24.681144432954152
AAAI,2023,1720,666,1054,38.72093023255814
ACL,2023,1075,299,776,27.813953488372096
CVPR,2023,2359,1090,1269,46.20601949978805
ICLR,2023,1575,476,1099,30.22222222222222
ICML,2023,1865,386,1479,20.697050938337803
NeurIPS,2023,3584,895,2689,24.972098214285715
AAAI,2024,2501,1000,1501,39.98400639744102
ACL,2024,940,193,747,20.53191489361702
CVPR,2024,2716,1147,1569,42.231222385861564
ICLR,2024,2260,629,1631,27.831858407079647
ICML,2024,2610,566,2044,21.685823754789272
NeurIPS,2024,4562,1143,3419,25.054800526085053
AAAI,2025,3182,1158,2024,36.39220615964802
ACL,2025,1699,335,1364,19.717480871100648
CVPR,2025,2871,1184,1687,41.239986067572275
ICLR,2025,3704,903,2801,24.379049676025918
ICML,2025,3342,783,2559,23.429084380610412
NeurIPS,2025,5812,1611,4201,27.71851342050929
